tx_hash,timestamp_detected,timestamp_tx,method,shares,outcome,side,token_id,price,mempool_detected_at,mempool_shares,mempool_side,mempool_price,mempool_outcome,mempool_role,mempool_maker_amount,mempool_taker_amount,mempool_fill_amount,livedata_detected_at,livedata_shares,livedata_side,livedata_price,livedata_outcome,polygon_detected_at,polygon_shares,polygon_side,polygon_price,polygon_token_id,data_api_detected_at,data_api_shares,data_api_side,data_api_price,data_api_outcome,data_api_token_id,clob_detected_at,clob_shares,clob_side,clob_price,clob_outcome,clob_token_id,first_method
0xe4f1fede0a1313550370ede113d926dc518c4a1ca2c6ca594d6b8d859795e3f7,2025-12-02T19:41:00.236+01:00,2025-12-02T19:41:00Z,POLYGON_LOGS,8.000000,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.260000,,0.000000,,0.000000,,,,,,,0.000000,,0.000000,,2025-12-02T19:41:00.236+01:00,8.000000,SELL,0.260000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:41:33.552+01:00,8.000000,SELL,0.260000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,POLYGON_LOGS
0x3db730e5611abda30b188452fe52a66d455e1ff1c71e4e8e578af191cbc04be1,2025-12-02T19:41:00.249+01:00,2025-12-02T19:41:00Z,POLYGON_LOGS,1.480000,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.260000,,0.000000,,0.000000,,,,,,2025-12-02T19:41:00.733+01:00,1.480000,SELL,0.260000,Up,2025-12-02T19:41:00.249+01:00,1.480000,SELL,0.260000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:41:33.552+01:00,1.480000,SELL,0.260000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,POLYGON_LOGS
0xa6821f14683e4d12b070978b7ec3ca5a6f2bb672a35588c1d7b8af26eab0be39,2025-12-02T19:41:21.076+01:00,2025-12-02T19:41:24Z,MEMPOOL,64.410000,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.660000,2025-12-02T19:41:21.076+01:00,127.000000,SELL,0.660000,,MAKER,216000000,142560000,127000000,,0.000000,,0.000000,,2025-12-02T19:41:24.280+01:00,64.410000,SELL,0.660000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:41:33.552+01:00,64.410000,SELL,0.660000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
0x1802fd0f49b4688f27de9eb7e1921bc8015af913a95d539c6c279db420e2108a,2025-12-02T19:41:21.082+01:00,2025-12-02T19:41:24Z,MEMPOOL,48.550000,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.660000,2025-12-02T19:41:21.082+01:00,16.507000,SELL,0.660000,,MAKER,216000000,142560000,16507000,,0.000000,,0.000000,,2025-12-02T19:41:24.267+01:00,48.550000,SELL,0.660000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:41:33.552+01:00,48.550000,SELL,0.660000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
0x2ac88e770631058503e55d919612087ca5a2d2c499f9247b90a33617373db430,2025-12-02T19:41:23.541+01:00,2025-12-02T19:41:26Z,MEMPOOL,150.000000,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.620000,2025-12-02T19:41:23.541+01:00,150.000000,SELL,0.620000,,MAKER,216000000,133920000,150000000,,0.000000,,0.000000,,2025-12-02T19:41:26.235+01:00,150.000000,SELL,0.620000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:41:33.552+01:00,150.000000,SELL,0.620000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
0x900c238897a033fb77a3579e727b5808d271384d4287026940214cff51900296,2025-12-02T19:41:24.280+01:00,2025-12-02T19:41:24Z,POLYGON_LOGS,103.030302,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.660000,,0.000000,,0.000000,,,,,,,0.000000,,0.000000,,2025-12-02T19:41:24.280+01:00,103.030302,SELL,0.660000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:41:33.552+01:00,103.030302,SELL,0.660000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,POLYGON_LOGS
0x9620369e74ca404aa915a5fdfead0f26a743fdbb2d5c19f44287778668b77db7,2025-12-02T19:41:24.312+01:00,2025-12-02T19:41:24Z,POLYGON_LOGS,216.000000,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.660000,,0.000000,,0.000000,,,,,,,0.000000,,0.000000,,2025-12-02T19:41:24.312+01:00,216.000000,SELL,0.660000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:41:33.552+01:00,216.000000,SELL,0.660000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,POLYGON_LOGS
0x94d0ffdf8c6f44542633e1cdd075a836df42edd147a1dd0f3f2f474b1f733efb,2025-12-02T19:41:24.324+01:00,2025-12-02T19:41:24Z,POLYGON_LOGS,94.900000,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.660000,,0.000000,,0.000000,,,,,,,0.000000,,0.000000,,2025-12-02T19:41:24.324+01:00,94.900000,SELL,0.660000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:41:33.552+01:00,94.900000,SELL,0.660000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,POLYGON_LOGS
0xd45dc69b73f44823dbd6123ffad5cb6a5a470bb4e840323352da5bb22a8a3f3c,2025-12-02T19:41:26.235+01:00,2025-12-02T19:41:26Z,POLYGON_LOGS,5.000000,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.620000,,0.000000,,0.000000,,,,,,,0.000000,,0.000000,,2025-12-02T19:41:26.235+01:00,5.000000,SELL,0.620000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:41:33.552+01:00,5.000000,SELL,0.620000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,POLYGON_LOGS
0x8857e5ea82fac3d264e3f9ab04a5a4c097fa507e1a6723e5c1bb8e2f976b1eb6,2025-12-02T19:41:26.241+01:00,2025-12-02T19:41:26Z,POLYGON_LOGS,4.710000,Down,SELL,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.620000,,0.000000,,0.000000,,,,,,,0.000000,,0.000000,,2025-12-02T19:41:26.241+01:00,4.710000,SELL,0.620000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:41:33.552+01:00,4.710000,SELL,0.620000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,POLYGON_LOGS
0x55683f4fbeffc419d83e0b7c0a79ebf6415074fdb5d104e5de09944619488a70,2025-12-02T19:42:04.229+01:00,2025-12-02T19:42:04Z,POLYGON_LOGS,2.900000,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.420000,,0.000000,,0.000000,,,,,,,0.000000,,0.000000,,2025-12-02T19:42:04.229+01:00,2.900000,SELL,0.420000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:42:35.569+01:00,2.900000,SELL,0.420000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,POLYGON_LOGS
0x53bef885bef0e0b566f7fd0dd7bd8d9083a048761dba9308e5d218574cd83043,2025-12-02T19:42:05.448+01:00,2025-12-02T19:42:08Z,MEMPOOL,42.800000,Up,BUY,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.514673,2025-12-02T19:42:05.448+01:00,42.800000,BUY,0.520000,Up,MAKER,104000000,200000000,42800000,2025-12-02T19:42:09.549+01:00,42.800000,BUY,0.514673,Up,2025-12-02T19:42:08.157+01:00,22.800000,SELL,0.490000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:42:35.569+01:00,42.800000,BUY,0.514673,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0xe7db439d7e4d3500d70f59c29ac303581a91ac08ee7e7f4d7d577570ef09f782,2025-12-02T19:42:06.207+01:00,2025-12-02T19:42:10Z,MEMPOOL,200.000000,Up,BUY,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.506110,2025-12-02T19:42:06.207+01:00,200.000000,BUY,0.530000,Up,MAKER,106000000,200000000,200000000,2025-12-02T19:42:11.165+01:00,200.000000,BUY,0.506110,Up,2025-12-02T19:42:10.214+01:00,77.800000,SELL,0.500000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:42:35.569+01:00,200.000000,BUY,0.506110,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
