tx_hash,first_method,mempool_detected_at,mempool_side,mempool_role,mempool_fill_shares_CORRECT,mempool_word3_total_WRONG,mempool_maker_index,dataapi_detected_at,dataapi_side,dataapi_size,dataapi_price,dataapi_outcome,dataapi_title,latency_ms,size_match
0xf65d951297db1ed09ea6ae93193a868cf65702692ab39e77ff5b85b07d1fe5cb,DATA_API,,,,,,,2025-12-02T15:45:00.867830,SELL,20,0.05,Down,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 20.0000)
0xebcfaadd0d931ea458cae2c6439e7f44e1fab6bc2a7d4cfdc9c020076bed3faf,DATA_API,,,,,,,2025-12-02T15:45:00.868285,SELL,20,0.05,Down,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 20.0000)
0x77c96dfd7477acce4bdf08bf156dfcabba92fc3e497dca36762538bbdbbbd3d1,DATA_API,,,,,,,2025-12-02T15:45:00.868310,SELL,20,0.05,Down,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 20.0000)
0x516f25efe8d92eef654c4bd2f65e2c0c43bb7f6d886f453d5fd8e692ea26d8be,DATA_API,,,,,,,2025-12-02T15:45:00.868319,SELL,20,0.05,Down,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 20.0000)
0xb75be531376b5c7b6d0d35c5cc36831bb0905b10406dd8523f12b99f61a978f6,DATA_API,,,,,,,2025-12-02T15:45:00.868325,BUY,500,0.0715816,Down,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 500.0000)
0x71b46f6836ebc6c523f127dd939f5334fac8c6d27e07d80242d3b4057bf40c45,DATA_API,,,,,,,2025-12-02T15:45:00.868332,SELL,15,0.07,Down,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 15.0000)
0x0938e314aad52dfef56e4d9f1f8d386cb0e39b288837c6de29df0db2ef4afe3e,DATA_API,,,,,,,2025-12-02T15:45:00.868337,SELL,50,0.96,Up,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 50.0000)
0xe3d4a9790eec68e78b333e1fd8880563bdcb12667a1040608b6cd4f9738b78a2,DATA_API,,,,,,,2025-12-02T15:45:00.868343,SELL,20,0.15,Down,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 20.0000)
0xf7bc7831b5f7b6276e962671714997926d57812a91bdc74de1977898c1dcad84,DATA_API,,,,,,,2025-12-02T15:45:00.868350,SELL,12,0.15,Down,"Bitcoin Up or Down - December 2, 9:30AM-9:45AM ET",,NO (0.0000 vs 12.0000)
0x6ea275ac8e8a2de1bc76627f252dd37acec5254d86e82d23b7af0195ba97dfdc,DATA_API,,,,,,,2025-12-02T15:45:32.429618,BUY,5,0.58,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,NO (0.0000 vs 5.0000)
0x714da9a4b950f2c145907a8c6799befbde71f8eb9acf7e481edb35167bf14fca,DATA_API,,,,,,,2025-12-02T15:45:32.429655,BUY,3,0.58,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,NO (0.0000 vs 3.0000)
0xee720a2789e348a420a4907cb452e762010788e32272510544f234478d0e88fe,DATA_API,,,,,,,2025-12-02T15:46:03.922633,BUY,12,0.61,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,NO (0.0000 vs 12.0000)
0x6bc582f288bccfb3890e9efed81ac234f0f7be241985c04550c3a89f30fb5552,DATA_API,2025-12-02T15:46:14.780745,BUY,TAKER,216.0,216.0,-1,2025-12-02T15:45:32.429681,BUY,216,0.49,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,YES
0xd42b659314a66b11ef83cc32c210ce818728f56e249aed0675f581a24a9616f0,DATA_API,2025-12-02T15:46:15.134488,BUY,TAKER,216.0,216.0,-1,2025-12-02T15:45:32.429689,BUY,216,0.49,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,YES
0xa7ffbb1d8818811c1dc9579181244373a91370fe5a5d4c8b4744ff9b2b6066cd,DATA_API,2025-12-02T15:46:17.510662,BUY,TAKER,216.0,216.0,-1,2025-12-02T15:45:32.429685,BUY,216,0.4907425925925926,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,YES
0x2beafa08258ac0abe9b2a628ec4e124982a9aa7d3b3fadf5772d107648ee5895,DATA_API,2025-12-02T15:46:28.314615,BUY,MAKER,9.23,19.23,1,2025-12-02T15:45:32.429676,BUY,18.46,0.5,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,NO (9.2300 vs 18.4600)
0xab2ddadd05020d520872ccea9722beaaea884633d52b274c8bdb3c1218949726,DATA_API,2025-12-02T15:46:35.738406,BUY,TAKER,16.0,16.0,-1,2025-12-02T15:45:32.429668,BUY,16,0.53,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,YES
0x42aa6679cec96b26ea1ea2d5954c2879d4c7a0653258281593ac1011e03d74ce,DATA_API,2025-12-02T15:46:46.851091,BUY,MAKER,0.1219,19.23,3,2025-12-02T15:45:32.429672,BUY,0.23,0.53,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,NO (0.1219 vs 0.2300)
0x4b1b792b4e1772eabf30cb9fb2481915efc500a65fee903cfc80bfa0f3a74e69,DATA_API,2025-12-02T15:46:49.272828,BUY,MAKER,5.7081,19.23,0,2025-12-02T15:45:32.429661,BUY,10.77,0.53,Up,"Bitcoin Up or Down - December 2, 9:45AM-10:00AM ET",,NO (5.7081 vs 10.7700)
