tx_hash,side,mempool_size,mempool_price,filled_size,filled_price,mempool_detected_at,livedata_detected_at,polygon_logs_detected_at,data_api_detected_at,first_detector,is_confirmed,mempool_to_confirm_ms,outcome,timestamp_unix,order_type,notes
0x3867693c244a894f063bb3fdf531...,SELL,45.00,0.0700,,,10:38:53.289,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x7b71d35adcfb02417f42467c3051...,BUY,1.01,0.9900,,,10:38:53.554,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x6fd7f9037995af28ea2f1bdb93e4...,BUY,1.01,0.9901,,,10:38:53.664,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x5d0ea01d800d0962df5898ff6a4f...,SELL,20.00,0.0700,,,10:38:53.842,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x5b315ef11e621222d0ffca836893...,BUY,4.00,0.9700,,,10:38:54.698,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x8af56e403526789b49ec2377cd9b50050ad8ade33036d937f04f34a81c9d3e75,SELL,216.00,0.9300,25.1,0.93,10:38:55.510,10:38:59.060,10:38:58.771,---,MEMPOOL,YES,3261,Down,1764668338,TAKER,Confirmed - partial fill
0xe3affa2cd5e1c0b69d477e8908b081cbc0618c59764c78edb10125b509b8c97f,SELL,161.97,0.0600,161.97,0.93,10:38:55.525,---,---,---,MEMPOOL,YES,---,Down,1764668338,TAKER,Confirmed via DATA_API only
0x049479953990e21fa4a00fd5aa55e51efef7af1a8145b35a6ae67c20c9de27df,SELL,216.00,0.9300,20,0.93,10:38:57.701,10:39:01.235,10:39:00.169,---,MEMPOOL,YES,2468,Down,1764668340,TAKER,Confirmed - partial fill
0x6326daa117a20f876f2b328b54fde82f44f340e0ab0058576c24ab2131455166,BUY,4.00,0.9700,4.17,0.93,10:38:58.775,---,---,---,MEMPOOL,YES,---,Down,1764668342,TAKER,Confirmed via DATA_API
0xbf651bcab550ed3610d7f294b688e83f62ba46900651adb45c0c6166285d1d46,BUY,75.00,0.9400,60,0.93,10:39:01.175,---,---,---,MEMPOOL,YES,---,Down,1764668344,TAKER,Confirmed via DATA_API
0xd0f839b39b1547b638cb74b9524b7e0b2c1821471748085d39b8598a30202220,BUY,150.00,0.9400,70.1,0.93,10:39:02.157,---,---,---,MEMPOOL,YES,---,Down,1764668344,TAKER,Confirmed - partial fill
0x2238ca19f024d57c40e08ba9135df709efde50dd80c87482b5f9f7eefe7f7734,BUY,10.00,0.9500,10.11,0.06,10:39:03.125,---,---,---,MEMPOOL,YES,---,Up,1764668346,TAKER,Confirmed via DATA_API
0xc0429df9e1addc92d31486ca05648d49b635c01d5c10dbd630638c2c9e075778,BUY,60.00,0.9400,42.8,0.06,10:39:03.132,---,---,---,MEMPOOL,YES,---,Up,1764668346,TAKER,Confirmed - partial fill
0xfb2d538cb93ee159cf79cf3509afff87f852f7f0683b75677aee55de2a95d280,BUY,6.00,0.9500,6,0.06,10:39:03.132,---,---,---,MEMPOOL,YES,---,Up,1764668346,TAKER,Confirmed via DATA_API
0x6160f55f5c788293646dedb5139e910f5f5c4151b8974370a6245fbf4688385b,SELL,216.00,0.9300,145.9,0.93,10:39:03.133,10:39:07.488,10:39:07.002,---,MEMPOOL,YES,3869,Down,1764668346,TAKER,Confirmed via LIVEDATA
0x9d0d7d96e905f1f8a671d9d860102d9d4f9409169a35311089b2f03c0e35e15a,BUY,20.00,0.9400,20,0.06,10:39:03.133,---,---,---,MEMPOOL,YES,---,Up,1764668346,TAKER,Confirmed via DATA_API
0x21aa01acf55e647fa6149e1e626f44ec8200a4adb45ef2739a729fcb8c3b0cf1,BUY,5.00,0.9400,5,0.06,10:39:03.166,---,---,---,MEMPOOL,YES,---,Up,1764668346,TAKER,Confirmed via DATA_API
0x9c4488f2f145b5cf2230012a92ba5745a5e511bc3f0a4c5494b2911d55b38e63,BUY,10.00,0.9400,10,0.06,10:39:03.576,---,---,---,MEMPOOL,YES,---,Up,1764668346,TAKER,Confirmed via DATA_API
0xb4dfef96387e074b6fe6cc21d37ddedbb1b9983ac1ef156f1bd73ec035985792,BUY,6.00,0.9500,6,0.06,10:39:03.901,---,---,---,MEMPOOL,YES,---,Up,1764668348,TAKER,Confirmed via DATA_API
0x5b4cbf4dfeb0b2c5e9148912275aba9c65aa8babbe33d2f381c1451a952a769d,SELL,50.00,0.0600,50,0.06,10:39:04.643,---,---,---,MEMPOOL,YES,---,Up,1764668348,TAKER,Confirmed via DATA_API
