tx_hash,side,mempool_size,mempool_price,filled_size,filled_price,mempool_detected_at,livedata_detected_at,polygon_logs_detected_at,data_api_detected_at,first_detector,is_confirmed,mempool_to_confirm_ms,outcome,timestamp_unix,order_type,notes
0xa0381252c0434071b559060a8d79,SELL,45.00,0.0700,---,---,11:51:08.975,---,---,---,MEMPOOL,NO,---,---,1733139068,TAKER,Unfilled/dropped - not confirmed by any source
0x23587f3c20527bada5d5c1cfba1a,BUY,12.00,0.9300,---,---,11:51:09.031,---,---,---,MEMPOOL,NO,---,---,1733139069,TAKER,Unfilled/dropped - not confirmed by any source
0x7b7bdfe2427e40f39f17292b2400,BUY,12.00,0.9300,---,---,11:51:09.095,---,---,---,MEMPOOL,NO,---,---,1733139069,TAKER,Unfilled/dropped - not confirmed by any source
0x0f41452bb4f9828aee4e1d6aaae4,SELL,278.00,0.0700,31.20,0.07,11:51:09.191,---,---,11:51:32.264,MEMPOOL,YES,23073,Up,1733139069,TAKER,Confirmed via DATA_API - partial fill
0x8f2d5587ffd4f24f22ec355e51c1,SELL,216.00,0.9300,35.10,0.9315,11:51:09.237,11:51:13.121,11:51:12.286,---,MEMPOOL,YES,3049,Down,1733139069,TAKER,Confirmed via POLYGON_LOGS first (2.8s) then LIVEDATA
0x20a4c94647d3dc15b4eb30276d91,BUY,600.00,0.9300,---,---,11:51:09.494,---,---,---,MEMPOOL,NO,---,---,1733139069,TAKER,Unfilled/dropped - not confirmed by any source
0xb1c683acce63bb432b6b9039eb34,BUY,2.15,0.9300,2.15,0.93,11:51:09.821,---,---,11:51:32.264,MEMPOOL,YES,22443,Down,1733139069,TAKER,Confirmed via DATA_API - full fill
0xfe91e4527f9e2a71967021a47e0e,SELL,216.00,0.9300,9.28,0.93,11:51:10.242,11:51:13.229,11:51:12.337,11:51:32.264,MEMPOOL,YES,2095,Down,1733139070,TAKER,Confirmed via POLYGON_LOGS first (2.1s) - partial fill
0x0c203726816754022b381260f083,BUY,2.15,0.9300,2.15,0.93,11:51:10.393,---,---,11:51:32.264,MEMPOOL,YES,21871,Down,1733139070,TAKER,Confirmed via DATA_API - full fill
0xebd7bd4efe1eb85fb41d4d4f0b9e,BUY,2.15,0.9300,---,---,11:51:10.463,---,---,---,MEMPOOL,NO,---,---,1733139070,TAKER,Unfilled/dropped - not confirmed by any source
0xb9d9d62d1b350411162c1746e4d3,BUY,2.15,0.9300,---,---,11:51:10.558,---,---,---,MEMPOOL,NO,---,---,1733139070,TAKER,Unfilled/dropped - not confirmed by any source
0x59ceb4da584f746a9c6e32bb3f18,BUY,2.15,0.9300,2.15,0.93,11:51:10.565,---,---,11:51:32.264,MEMPOOL,YES,21699,Down,1733139070,TAKER,Confirmed via DATA_API - full fill
0xa8540c8377330127c665d4965e1b,BUY,2.15,0.9300,2.15,0.93,11:51:10.587,---,---,11:51:32.264,MEMPOOL,YES,21677,Down,1733139070,TAKER,Confirmed via DATA_API - full fill
0xe8112703c075c97b60ca9b9dbd31,SELL,5.00,0.0600,5.00,0.07,11:51:12.428,---,---,11:51:32.264,MEMPOOL,YES,19836,Up,1733139072,TAKER,Confirmed via DATA_API - full fill
0x35d6588b899111df131be0b3e001,BUY,216.00,0.0700,145.00,0.07,11:51:12.579,11:51:16.628,11:51:16.619,11:51:32.264,MEMPOOL,YES,4040,Up,1733139072,TAKER,Confirmed via POLYGON_LOGS first (4.0s) - partial fill
0x528ea6d2c09ba64d1c13b6e78cb5,BUY,315.79,0.9500,213.00,0.94,11:51:13.536,---,---,11:51:32.264,MEMPOOL,YES,18728,Down,1733139073,TAKER,Confirmed via DATA_API - partial fill
0x13d88c8e3a87cbc14d574e716b5f,BUY,140.00,0.0600,5.00,0.06,11:51:28.386,11:51:30.782,11:51:30.587,11:52:02.272,MEMPOOL,YES,2201,Up,1733139088,TAKER,Confirmed via POLYGON_LOGS first (2.2s) - partial fill
0xba8eaecb8ec4066b074d89796022,BUY,139.00,0.0600,30.10,0.06,11:51:32.665,11:51:34.844,11:51:34.846,11:52:02.272,MEMPOOL,YES,2179,Up,1733139092,TAKER,Confirmed via LIVEDATA first (2.2s) - partial fill
0x5bdaaabd2e2a7515d48a5065da8f,BUY,130.00,0.0300,130.00,0.03,11:52:12.514,11:52:15.067,11:52:14.733,11:52:34.314,MEMPOOL,YES,2219,Up,1733139132,TAKER,Confirmed via POLYGON_LOGS first (2.2s) - full fill
0x2949025aeba2b278d556fb01b601,BUY,130.00,0.0300,130.00,0.03,11:52:12.519,11:52:15.109,11:52:14.731,11:52:34.314,MEMPOOL,YES,2212,Up,1733139132,TAKER,Confirmed via POLYGON_LOGS first (2.2s) - full fill
0xaccf13c42dafa783b9dc05ecebd4,BUY,130.00,0.0300,130.00,0.03,11:52:12.583,11:52:14.785,11:52:14.748,11:52:34.314,MEMPOOL,YES,2165,Up,1733139132,TAKER,Confirmed via POLYGON_LOGS first (2.2s) - full fill
0x1e1071adba7ef5e9ab85b7a3b307,BUY,91.00,0.0400,91.00,0.03,11:52:12.985,11:52:15.140,11:52:14.802,11:52:34.314,MEMPOOL,YES,1817,Up,1733139132,TAKER,Confirmed via POLYGON_LOGS first (1.8s) - full fill
0xbc7d6265cc12192ec4be3668f780,BUY,52.00,0.0400,52.00,0.03,11:52:13.141,11:52:16.726,11:52:16.667,11:52:34.314,MEMPOOL,YES,3526,Up,1733139133,TAKER,Confirmed via POLYGON_LOGS first (3.5s) - full fill
0x2d3d0f5719eaa04a5c44a129cd9b,SELL,13.00,0.9600,13.00,0.97,11:52:13.306,11:52:14.718,11:52:14.801,11:52:34.314,MEMPOOL,YES,1412,Down,1733139133,TAKER,Confirmed via LIVEDATA first (1.4s) - full fill
