tx_hash,side,mempool_size,mempool_price,filled_size,filled_price,mempool_detected_at,livedata_detected_at,polygon_logs_detected_at,data_api_detected_at,first_detector,is_confirmed,mempool_to_confirm_ms,outcome,timestamp_unix,order_type,notes
0xa0381252c04340,SELL,45.00,0.0700,---,---,11:51:08.975,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x23587f3c20527b,BUY,12.00,0.9300,---,---,11:51:09.031,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x7b7bdfe2427e40,BUY,12.00,0.9300,---,---,11:51:09.095,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x0f41452bb4f982,SELL,278.00,0.0700,31.20,0.07,11:51:09.191,---,---,11:51:32.264,MEMPOOL,YES,23073,Up,---,TAKER,Confirmed via DATA_API
0x8f2d5587ffd4f2,SELL,216.00,0.9300,35.10,0.9315,11:51:09.237,11:51:13.121,11:51:12.286,---,MEMPOOL,YES,3049,Down,---,TAKER,Confirmed via LIVEDATA
0x20a4c94647d3dc,BUY,600.00,0.9300,---,---,11:51:09.494,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0xb1c683acce63bb,BUY,2.15,0.9300,2.15,0.93,11:51:09.821,---,---,11:51:32.264,MEMPOOL,YES,22443,Down,---,TAKER,Confirmed via DATA_API
0xfe91e4527f9e2a,SELL,216.00,0.9300,9.28,0.93,11:51:10.242,11:51:13.229,11:51:12.337,11:51:32.264,MEMPOOL,YES,2095,Down,---,TAKER,Confirmed via LIVEDATA
0x0c203726816754,BUY,2.15,0.9300,2.15,0.93,11:51:10.393,---,---,11:51:32.264,MEMPOOL,YES,21871,Down,---,TAKER,Confirmed via DATA_API
0xebd7bd4efe1eb8,BUY,2.15,0.9300,---,---,11:51:10.463,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0xb9d9d62d1b3504,BUY,2.15,0.9300,---,---,11:51:10.558,---,---,---,MEMPOOL,NO,---,---,---,TAKER,Unfilled/dropped order
0x59ceb4da584f74,BUY,2.15,0.9300,2.15,0.93,11:51:10.565,---,---,11:51:32.264,MEMPOOL,YES,21699,Down,---,TAKER,Confirmed via DATA_API
0xa8540c83773301,BUY,2.15,0.9300,2.15,0.93,11:51:10.587,---,---,11:51:32.264,MEMPOOL,YES,21677,Down,---,TAKER,Confirmed via DATA_API
0xe8112703c075c9,SELL,5.00,0.0600,5.00,0.07,11:51:12.428,---,---,11:51:32.264,MEMPOOL,YES,19836,Up,---,TAKER,Confirmed via DATA_API
0x35d6588b899111,BUY,216.00,0.0700,145.00,0.07,11:51:12.579,11:51:16.628,11:51:16.619,11:51:32.264,MEMPOOL,YES,4040,Up,---,TAKER,Confirmed via LIVEDATA
0x528ea6d2c09ba6,BUY,315.79,0.9500,213.00,0.94,11:51:13.536,---,---,11:51:32.264,MEMPOOL,YES,18728,Down,---,TAKER,Confirmed via DATA_API
0x13d88c8e3a87cb,BUY,140.00,0.0600,5.00,0.06,11:51:28.386,11:51:30.782,11:51:30.587,11:52:02.272,MEMPOOL,YES,2201,Up,---,TAKER,Confirmed via LIVEDATA
0xba8eaecb8ec406,BUY,139.00,0.0600,30.10,0.06,11:51:32.665,11:51:34.844,11:51:34.846,11:52:02.272,MEMPOOL,YES,2179,Up,---,TAKER,Confirmed via LIVEDATA
0x5bdaaabd2e2a75,BUY,130.00,0.0300,130.00,0.03,11:52:12.514,11:52:15.067,11:52:14.733,11:52:34.314,MEMPOOL,YES,2219,Up,---,TAKER,Confirmed via LIVEDATA
0x2949025aeba2b2,BUY,130.00,0.0300,130.00,0.03,11:52:12.519,11:52:15.109,11:52:14.731,11:52:34.314,MEMPOOL,YES,2212,Up,---,TAKER,Confirmed via LIVEDATA
0xaccf13c42dafa7,BUY,130.00,0.0300,130.00,0.03,11:52:12.583,11:52:14.785,11:52:14.748,11:52:34.314,MEMPOOL,YES,2165,Up,---,TAKER,Confirmed via LIVEDATA
0x1e1071adba7ef5,BUY,91.00,0.0400,91.00,0.03,11:52:12.985,11:52:15.140,11:52:14.802,11:52:34.314,MEMPOOL,YES,1817,Up,---,TAKER,Confirmed via LIVEDATA
0xbc7d6265cc1219,BUY,52.00,0.0400,52.00,0.03,11:52:13.141,11:52:16.726,11:52:16.667,11:52:34.314,MEMPOOL,YES,3526,Up,---,TAKER,Confirmed via LIVEDATA
0x2d3d0f5719eaa0,SELL,13.00,0.9600,13.00,0.97,11:52:13.306,11:52:14.718,11:52:14.801,11:52:34.314,MEMPOOL,YES,1412,Down,---,TAKER,Confirmed via LIVEDATA
0x02e190b78e44e3,SELL,13.00,0.9600,13.00,0.97,11:52:13.429,11:52:16.789,11:52:16.666,11:52:34.314,MEMPOOL,YES,3237,Down,---,TAKER,Confirmed via LIVEDATA
