tx_hash,first_method,mempool_detected_at,mempool_from,mempool_to,mempool_gas,mempool_gas_price,mempool_nonce,mempool_input_len,mempool_function,mempool_fill_usdc,mempool_fill_shares,mempool_fill_price,mempool_side,mempool_role,mempool_token_id,mempool_maker_address,mempool_taker_address,mempool_order_maker_amt,mempool_order_taker_amt,mempool_expiration,mempool_fee_bps,mempool_old_size_bug,mempool_new_size_fixed,size_difference,livedata_detected_at,livedata_side,livedata_size,livedata_price,livedata_outcome,livedata_condition_id,dataapi_detected_at,dataapi_side,dataapi_size,dataapi_price,dataapi_outcome,dataapi_title,mempool_to_livedata_ms,mempool_to_dataapi_ms
0xc3fb96e131632471fff793917988a76cf490b171f079c59e2ef8868c0e1e2178,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:37:36.786435,BUY,3.417186,0.36000001170553786,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x0663e0fa5e36a079e0d31fb80467b5093602148e754134d54338ac6f49f29a69,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:37:36.786456,BUY,216,0.38,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x71fad00aa0bc254b88112ebea46ebee6e94b09e896e32a7bf912607df271a257,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436790,BUY,19,0.62,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x124f289e7203d4dc93331f983c69879b52876719ef9f9147da7f0f18f85b3104,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436838,BUY,10,0.62,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xd1d0fd35ca5211ca20f898440ac986c59f36d3d67443456d05d7c49a1a1bc19c,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436853,BUY,9,0.62,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xde350147a57c801ce562f1ac09ee46627d0b6ec617a2f5a83e8c65ab7b700158,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436864,BUY,52.5,0.6,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x316203f96e77a25d7f62f0c15ce9165c21e142f15cbc41eb9bc0c5a526b2bb48,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436875,BUY,10,0.6,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xf7f8f4b0abc397fbd73f9bc080c306a414e89ff7936fe90d247359b586c1a445,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436885,BUY,20,0.57,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x60051f03541e18734f933462288285e81b6780275c070f33c08e9418249761db,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436894,BUY,150,0.55,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x8092aac8b371718dd48cc6b20acc1e86516f96966eb8534aaa70a3da4b597aca,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436905,BUY,60,0.55,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x5cf4efbacb7db146e57a70a8cbd1db176e8949e82839c2aed9e3d052fc4a41d1,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:08.436915,BUY,1.72,0.54,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x94beb075fc87d43aba8ab6ffe1547d7c4bd0fd8290238f4bd0966696a68d4ee2,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:40.218407,BUY,9,0.54,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xb9862edeaf092feec8a3f010ef7102c7d5d740880a6e16a3397532cfb0557e59,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:38:40.218698,BUY,10,0.54,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x56574d346f6bb42f3830e8ff561f495f3b2988769e8f67b6af96f5630335f69c,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748045,SELL,8,0.41,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x6aeff356717977660114b20daca0a5b290180098fc72945c0099a47f5bfcf7bb,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748099,BUY,105,0.63,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x81ac2feb83b758d445e5d4647b6e9e68b15f14bd641e51c4804e9844aa2bee1c,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748114,SELL,156,0.39,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x3434108cc4ac31e968c8067c13344d11243204ed27b1e2bb2d65f0301ebdec9c,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748126,SELL,15,0.4,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x97823c71005a7e19ccdfa9b1db088212e89802cbc972e82c90e3e25daaf35fae,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748137,SELL,13,0.42,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xf7af5a4c9524a6c5b2f35480f9aff71f0a464561a99b8b0ea1ad61b89a7cc089,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748147,SELL,6,0.42,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x53cc35a134b85bd533d81475da42cb3bf2ddc1f87ee91386982532448c9c5880,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748157,SELL,6,0.42,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x5c7872ab01d090c0f041eaef3be250841f54aa13d7eabe7f621517bf53c5aaa4,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748168,BUY,3.065216,0.5400001174468618,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x9d048a600ad9e8c69ee681d118d15b913b80fe73aff92e0fd1ad85815c2f65f3,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748179,BUY,150,0.54,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xd64c017ce0e4634fabf3e73eb524246960df807824d406ee5c0401171ce297a1,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:11.748191,BUY,46,0.54,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x418f38445d50e3f1148bb662e3e63261e59daa953be825e9f9b27db133e1fe55,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:43.223103,SELL,17.76,0.34,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xd7ee34eef8ff5a79e86bb5c008ee3a75496dbc988608964a83619342a6c1823e,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:43.223166,SELL,18.235293,0.33999996599999793,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xa7541256f9188d8d6b5bf5b81ed1558d8286695e1728306416c8ca06a7ff2013,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:43.223244,SELL,0.63,0.39,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xe9fffdfb2e57afdd0bc935c7e390924714247edfeff3da59f07d73ebbc185f23,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:43.223254,SELL,0.63,0.39,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x0f22280afbfa16770b3a1bd8300da922b445ecb0f7de196a1c83aae6ccb3352e,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:43.223263,SELL,0.7,0.39,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x29bd009d972e8195b47095114bba75b43f28d0ffd1575f1508ba3726f54a07f6,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:43.223272,SELL,5,0.39,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x32989d2d29454a677d71119b7ec87970ba04daf9b95864a89bd5839fcd81d2de,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:39:43.223284,SELL,0.1,0.38,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xdbb1e20b14330c9ca47db20277165325821015bffac0aae14b3a1f33a7e651cc,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:40:14.777969,SELL,5,0.34,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x3ab661512f77b3b80ce3404a5c3c427bb2aa60aba954170739f761e90f88adf6,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:40:14.778025,SELL,25,0.34,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x63730172b142c68a75869eb04696acf6e6280cb37ac79c780f267e628896c37f,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:40:14.778044,SELL,25,0.34,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x6d4569f72870f1f7bb56a505c6bb5bde2292d36b96b4b1e6b9f8c94e3b5d70b4,DATA_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02T18:40:46.498558,SELL,8.2,0.3,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0x1597c1c5d6ff25861a9e3274298af41b761d1d2c7a9a825a44f26e80cc1dce70,DATA_API,2025-12-02T18:38:48.487601,0x7210dd22a1461e6f44701d3d97f4a9f452b144e1,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,1200000,0xa43f9159f,5820207,2148,2287e350,10.0,4.49,2.2271714922048997,BUY,MAKER,87384106544405112936925389528130522329461325843379000792299196252696208988624,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,95040000,216000000,1764697102,0,216.0,4.49,-211.51,,,,,,,2025-12-02T18:37:36.786341,BUY,1,0.44,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
0xe6542cd21d09f20dce90f3de70fd0a315c01c4fe07791457fa86084fc82f7a58,MEMPOOL,2025-12-02T18:39:11.197359,0x769598dc61e5fb3d0db4ee969b4a10eef564de7a,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,900000,0xba43b74000,6504337,1508,2287e350,0.7,0.427,1.6393442622950818,BUY,TAKER,959149853800822100378313755030386925308766376005,0x0000000000000000000000000000000000000020,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0,92527950745256279937857994677387823885323215794397376443159216140108614381004,47000000,1764697209,9.252795074525628e+70,0.427,-9.252795074525628e+70,,,,,,,2025-12-02T18:39:43.223216,SELL,0.7,0.39,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,32025
0xa9fdd3da7e8191d6b594ae1fecc83afbd30d51891c2d956c69840baa8da1b2cc,MEMPOOL,2025-12-02T18:39:12.388786,0x9585e75b56f9a98049405306c00ec427bb76e512,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,900000,0xba43b74000,6504554,1508,2287e350,0.63,0.3843,1.639344262295082,BUY,TAKER,959149853800822100378313755030386925308766376005,0x0000000000000000000000000000000000000020,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0,92527950745256279937857994677387823885323215794397376443159216140108614381004,47000000,1764697209,9.252795074525628e+70,0.3843,-9.252795074525628e+70,,,,,,,2025-12-02T18:39:43.223232,SELL,0.63,0.39,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,30834
0x72103f8400aada5eace85cf4f12ebb280b81f96a13037924febd7debb830bf1a,MEMPOOL,2025-12-02T18:39:32.096677,0x9585e75b56f9a98049405306c00ec427bb76e512,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,1200000,0xa23b8ec8b,6504557,2148,2287e350,19.527,28.3,0.6900000000000001,BUY,TAKER,959149853800822100378313755030386925308766376005,0x0000000000000000000000000000000000000800,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0,87384106544405112936925389528130522329461325843379000792299196252696208988624,31050000,1764697214,8.738410654440511e+70,28.3,-8.738410654440511e+70,,,,,,,2025-12-02T18:39:43.223180,BUY,28.3,0.69,Down,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,11126
0x673bd92d527c1f16287e6f342a301cb3ed9d0badd584335e038c6094bf0feed1,MEMPOOL,2025-12-02T18:40:20.173947,0x125914b1d921d83367a0478f4ea6447aff2ee9da,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,4500000,0x9e29a77db,6504036,9188,2287e350,99.999999,331.935482,0.30126336117330177,SELL,MAKER,92527950745256279937857994677387823885323215794397376443159216140108614381004,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,6000000,1740000,1764697272,0,6.0,331.935482,325.935482,,,,,,,2025-12-02T18:40:46.498530,SELL,6,0.3,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,26324
0x7bf8742bb181adfab5fcf359e26b9f026f9d69a275afb131a3c3b3ded7f04667,DATA_API,2025-12-02T18:40:47.641339,0x9585e75b56f9a98049405306c00ec427bb76e512,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,900000,0x9e21a7b10,6504590,1508,2287e350,5.0,4.0,1.25,BUY,TAKER,959149853800822100378313755030386925308766376005,0x0000000000000000000000000000000000000020,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0,92527950745256279937857994677387823885323215794397376443159216140108614381004,9000000,1764697278,9.252795074525628e+70,4.0,-9.252795074525628e+70,,,,,,,2025-12-02T18:40:46.498457,SELL,5,0.2,Up,"Bitcoin Up or Down - December 2, 12:30PM-12:45PM ET",,
