mempool_tx_hash,mempool_from,mempool_to,mempool_contract_name,livedata_detected_at,mempool_detected_at,mempool_gas_price,mempool_gas,mempool_nonce,mempool_max_fee_per_gas,mempool_max_priority_fee,mempool_value,mempool_input_len,mempool_decoded,mempool_side,mempool_token_id,,,,mempool_price,mempool_role,mempool_maker_address,mempool_taker_address,mempool_signer_address,mempool_expiration,mempool_order_nonce,mempool_fee_rate_bps,mempool_fill_amount,mempool_maker_amount,mempool_taker_amount,mempool_size,livedata_size,mempool_order_count,mempool_function_sig,mempool_signature_type,mempool_salt_hex,livedata_side,,livedata_price,polygon_logs_detected_at,data_api_detected_at,data_api_side,data_api_size,data_api_price,first_detector,is_confirmed,mempool_to_confirm_ms,outcome
0x23840c0753379f1b81316106358899452ae8e0c52dedcc54677f7af98c544170,0xd2add5493c7987995a472dbf90513d6d8f0d2367,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:08,12:30:03,0xba43b74000,0xdbba0,5805461,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,3.67317E+76,,,,0.54,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675062,0,0,116640000,116640000,216000000,216,216,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000000e611220,BUY,,0.53,12:30:06,,,0,0,MEMPOOL,TRUE,4123,Down
0xd06af6e70196dd07efb2e679c6ca8284ce16316c3b6e1a8ba34f05f832b18543,0x4595a3ad508adf916ab082d0438515b190f41c84,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:07,12:30:04,0xba43b74000,0x401640,6488271,0xba43b74000,0x826299e00,0x0,8548,TRUE,BUY,3.67317E+76,,,,0.54,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675062,0,0,116640000,116640000,216000000,216,216,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000000e149758,BUY,,0.523911,12:30:06,,,0,0,MEMPOOL,TRUE,3698,Down
0x1d4d2803001ee0172839c0ca4a1b87bc8abb355e4fa8b6aeca5b4ad9ae60aba5,0x80d8fe6267723f5df661bff99e06b6c5ee54c6d5,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:08,12:30:04,0xba43b74000,0x200b20,6487370,0xba43b74000,0x826299e00,0x0,4068,TRUE,BUY,3.67317E+76,,,,0.5,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675062,0,0,252000000,252000000,504000000,504,179.18,1,fillOrders,0,0x0000000000000000000000000000000000000000000000000000000032c96fdd,BUY,,0.5,12:30:06,,,0,0,MEMPOOL,TRUE,3869,Down
0xa41a785d6b7b41f6fc7512a212925079b5be4b12b55414d41d1acfde0a405a32,0x769598dc61e5fb3d0db4ee969b4a10eef564de7a,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:09,12:30:05,0xba43b74000,0xdbba0,6488240,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,3.67317E+76,,,,0.54,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675063,0,0,17820000,17820000,33000000,33,33,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000003fee3f51,BUY,,0.53,12:30:09,,,0,0,MEMPOOL,TRUE,4326,Down
0x4d8b3acc3966b48895a37e5842ab8b87152d3c52ea2f76bb51ef24d2173e7266,0x921df990acadf9a89d283b7e761ceac3311ea9ea,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:09,12:30:05,0xba43b74000,0xdbba0,6487154,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,3.67317E+76,,,,0.55,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675064,0,0,12650000,12650000,23000000,23,23,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000176e3c5f,BUY,,0.53,12:30:09,,,0,0,MEMPOOL,TRUE,4123,Down
0xd26e75ae058aca6668d0795791bddf1a2a386814781d9f9493a399c2a5638031,,,,12:30:07,,,,0,,,,0,FALSE,,,,,,0,,,,,0,,0,,,,0,33,0,,0,,BUY,,0.53,12:30:06,,,0,0,POLYGON_LOGS,TRUE,0,
0xb6029e11ddb1eab14eb13f5b4e8866400fad0d3066a95ed44fd31aef0d1efbc4,0x125914b1d921d83367a0478f4ea6447aff2ee9da,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:12,0xba43b74000,0xdbba0,6487916,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,5.00172E+76,,,,0.53,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675071,0,0,114480000,114480000,216000000,216,0,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000001ae14a0e,,,0,,,,0,0,MEMPOOL,FALSE,0,Down
0x06b053ebc7b365c2453b9fc1d18e54f876faf72e1c916ff26c10015f037222f6,0x921df990acadf9a89d283b7e761ceac3311ea9ea,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:13,0xba43b74000,0xdbba0,6487163,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,5.00172E+76,,,,0.61,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675072,0,0,131760000,131760000,216000000,216,0,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000002a61b80b,,,0,,12:30:35,BUY,10,0.61,MEMPOOL,TRUE,21735,Down
0x516ca465150e339342ea90f8e4c2559718a70ad5e9c16e5bfaed4ef28dea980b,0x429b8474bd7308b7787d364985bb4b8ea7de1d47,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:14,0xba43b74000,0xdbba0,6487777,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,5.00172E+76,,,,0.6,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675071,0,0,129600000,129600000,216000000,216,0,1,fillOrders,0,0x0000000000000000000000000000000000000000000000000000000004ffe683,,,0,,12:30:35,BUY,6,0.6,MEMPOOL,TRUE,21384,Down
0xc5e0d941ee0baa373b3445b5c7083b768f061f7a79072e3368843bc9bc0c8ef5,0xd2add5493c7987995a472dbf90513d6d8f0d2367,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:30:23,12:30:19,0xba43b74000,0xdbba0,5805479,0xba43b74000,0x826299e00,0x0,1508,TRUE,BUY,5.00172E+76,,,,0.65,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675078,0,0,140400000,140400000,216000000,216,216,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000508920b1,BUY,,0.64,12:30:23,12:30:35,BUY,216,0.64,MEMPOOL,TRUE,3528,Down
