timestamp,datetime,type,side,size,price,usdcSize,outcome,title,slug,eventSlug,conditionId,asset,transactionHash,proxyWallet,name,pseudonym
1764757509,2025-12-03 10:25:09,TRADE,SELL,216,0.98,211.68,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x8bf8bfd210d74ab386ec8efcb22262605bad68b49d3252873018f28e1c591410,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764757509,2025-12-03 10:25:09,TRADE,BUY,216,0.02,4.32,Down,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,11125733512403744939900544427190348911068825849848007109497372504726554799738,0x8bf8bfd210d74ab386ec8efcb22262605bad68b49d3252873018f28e1c591410,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764757507,2025-12-03 10:25:07,TRADE,SELL,15,0.98,14.7,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0xd17404d5a70e0872d910cf23ba136935cba3b1f10c337220663f9ed9de0d63db,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764757507,2025-12-03 10:25:07,TRADE,SELL,101.01,0.98,98.9898,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x8426e08aa4e2822c1a8f2156c7d9ce897b94576ae96d9690f90735fe208bd6c1,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764757507,2025-12-03 10:25:07,TRADE,SELL,100,0.98,98,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0xd179d0d7ea438b24286f9cb530addc3a42d01e4c7cece575add5e08770a17ac9,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756955,2025-12-03 10:15:55,TRADE,BUY,9,0.56,5.04,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x20e9e531d29b2b46e28a36c3bc2b1423f00e89ed5204498b6d171c6b1e21367a,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756955,2025-12-03 10:15:55,TRADE,BUY,13,0.56,7.28,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x40d8e6ff51bfa15183a1701a08fcf3d8583aea58e57b8f823d01cc18dcee6a68,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756955,2025-12-03 10:15:55,TRADE,BUY,13,0.56,7.28,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x2e23c45c3eb7092d39baf2ce5e7baf23e249035e15f9ee81618ff5df1f1239bc,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756955,2025-12-03 10:15:55,TRADE,BUY,9,0.56,5.04,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0xed661dc7814f8ecbc0310a814742e8e0f9d6eeed7083b2f10976e89ff817c045,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756935,2025-12-03 10:15:35,TRADE,BUY,33,0.54,17.82,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x2a2ad10298bfc17a8723dcf653bf8a280623e060b13829419b4f0ecee4f1cfd9,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756935,2025-12-03 10:15:35,TRADE,BUY,8,0.54,4.32,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0xd39fca027a491bf1524295deb33ae94e3466117a375fadb71371cddf1c249681,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756935,2025-12-03 10:15:35,TRADE,BUY,12,0.54,6.48,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x358b9b4e6f42e8a8892997db9098bab705ca5ad2ddcd0e6a146e76aa98091fbc,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756935,2025-12-03 10:15:35,TRADE,BUY,13,0.54,7.02,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x2a2ad10298bfc17a8723dcf653bf8a280623e060b13829419b4f0ecee4f1cfd9,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756923,2025-12-03 10:15:23,TRADE,BUY,47,0.56,26.32,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x7d340b6769d1a5bad76648f0a9bba19d3ed22fe51353d7d4ffb53e2599dea6d4,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756921,2025-12-03 10:15:21,TRADE,BUY,68,0.56,38.08,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0x74c986ecde5808be58730d7c0d0410f494c1c22c499ebb559738e604b094bf7c,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
1764756915,2025-12-03 10:15:15,TRADE,BUY,60,0.54,32.4,Up,"Bitcoin Up or Down - December 3, 5:15AM-5:30AM ET",btc-updown-15m-1764756900,btc-updown-15m-1764756900,0x7cee47edd3111a93f8a9aa560978a4e50d35f26ef3069f9d281d5ab07ba63dfb,99639875934475138170552945653948512690940480279202542046983891071931906916874,0xb50a067589ccca57f827f4e651e2e4f7038e58236fcf454292da7a7bc0632093,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,RedCaterpillar,Aged-Fax
